pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
  164 Frame processing times:  Cur. 4.507407 ms  |  Avg. 4.000000 ms  |  matches:  1600
  165 Frame processing times:  Cur. 4.506888 ms  |  Avg. 4.000000 ms  |  matches:  1600
  166 Frame processing times:  Cur. 4.499019 ms  |  Avg. 4.000000 ms  |  matches:  1600
  167 Frame processing times:  Cur. 4.490759 ms  |  Avg. 4.000000 ms  |  matches:  1600
  168 Frame processing times:  Cur. 4.499074 ms  |  Avg. 4.000000 ms  |  matches:  1600
  169 Frame processing times:  Cur. 4.493648 ms  |  Avg. 4.000000 ms  |  matches:  1600
  170 Frame processing times:  Cur. 4.520167 ms  |  Avg. 4.000000 ms  |  matches:  1600
  171 Frame processing times:  Cur. 4.496908 ms  |  Avg. 4.000000 ms  |  matches:  1600
  172 Frame processing times:  Cur. 4.481055 ms  |  Avg. 4.000000 ms  |  matches:  1600
  173 Frame processing times:  Cur. 4.490167 ms  |  Avg. 4.000000 ms  |  matches:  1600
  174 Frame processing times:  Cur. 4.508648 ms  |  Avg. 4.000000 ms  |  matches:  1600
  175 Frame processing times:  Cur. 4.500611 ms  |  Avg. 4.000000 ms  |  matches:  1600
  176 Frame processing times:  Cur. 4.541129 ms  |  Avg. 4.000000 ms  |  matches:  1600
  177 Frame processing times:  Cur. 4.488685 ms  |  Avg. 4.000000 ms  |  matches:  1600
  178 Frame processing times:  Cur. 4.476611 ms  |  Avg. 4.000000 ms  |  matches:  1600
  179 Frame processing times:  Cur. 4.499501 ms  |  Avg. 4.000000 ms  |  matches:  1600
  180 Frame processing times:  Cur. 4.498685 ms  |  Avg. 4.000000 ms  |  matches:  1600
  181 Frame processing times:  Cur. 4.475222 ms  |  Avg. 4.000000 ms  |  matches:  1600
  182 Frame processing times:  Cur. 4.489204 ms  |  Avg. 4.000000 ms  |  matches:  1600
  183 Frame processing times:  Cur. 4.497221 ms  |  Avg. 4.000000 ms  |  matches:  1600
  184 Frame processing times:  Cur. 4.486148 ms  |  Avg. 4.000000 ms  |  matches:  1600
  185 Frame processing times:  Cur. 4.509945 ms  |  Avg. 4.000000 ms  |  matches:  1600
  186 Frame processing times:  Cur. 4.475834 ms  |  Avg. 4.000000 ms  |  matches:  1600
  187 Frame processing times:  Cur. 4.487240 ms  |  Avg. 4.000000 ms  |  matches:  1600
  188 Frame processing times:  Cur. 4.516686 ms  |  Avg. 4.000000 ms  |  matches:  1600
  189 Frame processing times:  Cur. 4.490574 ms  |  Avg. 4.000000 ms  |  matches:  1600
  190 Frame processing times:  Cur. 4.485315 ms  |  Avg. 4.000000 ms  |  matches:  1600
  191 Frame processing times:  Cur. 4.489834 ms  |  Avg. 4.000000 ms  |  matches:  1600
  192 Frame processing times:  Cur. 4.489908 ms  |  Avg. 4.000000 ms  |  matches:  1600
  193 Frame processing times:  Cur. 4.458870 ms  |  Avg. 4.000000 ms  |  matches:  1600
  194 Frame processing times:  Cur. 4.524389 ms  |  Avg. 4.000000 ms  |  matches:  1600
  195 Frame processing times:  Cur. 4.497278 ms  |  Avg. 4.000000 ms  |  matches:  1600
  196 Frame processing times:  Cur. 4.483778 ms  |  Avg. 4.000000 ms  |  matches:  1600
  197 Frame processing times:  Cur. 4.483167 ms  |  Avg. 4.000000 ms  |  matches:  1600
  198 Frame processing times:  Cur. 4.456370 ms  |  Avg. 4.000000 ms  |  matches:  1600
  199 Frame processing times:  Cur. 4.485685 ms  |  Avg. 4.000000 ms  |  matches:  1600
  200 Frame processing times:  Cur. 4.490463 ms  |  Avg. 4.000000 ms  |  matches:  1600
  201 Frame processing times:  Cur. 4.472223 ms  |  Avg. 4.000000 ms  |  matches:  1600
  202 Frame processing times:  Cur. 4.490166 ms  |  Avg. 4.000000 ms  |  matches:  1600
  203 Frame processing times:  Cur. 4.490574 ms  |  Avg. 4.000000 ms  |  matches:  1600
  204 Frame processing times:  Cur. 4.488333 ms  |  Avg. 4.000000 ms  |  matches:  1600
  205 Frame processing times:  Cur. 4.480332 ms  |  Avg. 4.000000 ms  |  matches:  1600
  206 Frame processing times:  Cur. 4.538297 ms  |  Avg. 4.000000 ms  |  matches:  1600
  207 Frame processing times:  Cur. 4.471500 ms  |  Avg. 4.000000 ms  |  matches:  1600
  208 Frame processing times:  Cur. 4.465222 ms  |  Avg. 4.000000 ms  |  matches:  1600
  209 Frame processing times:  Cur. 4.502259 ms  |  Avg. 4.000000 ms  |  matches:  1600
  210 Frame processing times:  Cur. 4.477517 ms  |  Avg. 4.000000 ms  |  matches:  1600
  211 Frame processing times:  Cur. 4.469389 ms  |  Avg. 4.000000 ms  |  matches:  1600
  212 Frame processing times:  Cur. 4.515611 ms  |  Avg. 4.000000 ms  |  matches:  1600
  213 Frame processing times:  Cur. 4.517018 ms  |  Avg. 4.000000 ms  |  matches:  1600
  214 Frame processing times:  Cur. 4.479982 ms  |  Avg. 4.000000 ms  |  matches:  1600
  215 Frame processing times:  Cur. 4.494093 ms  |  Avg. 4.000000 ms  |  matches:  1600
  216 Frame processing times:  Cur. 4.465333 ms  |  Avg. 4.000000 ms  |  matches:  1600
  217 Frame processing times:  Cur. 4.483130 ms  |  Avg. 4.000000 ms  |  matches:  1600
  218 Frame processing times:  Cur. 4.495760 ms  |  Avg. 4.000000 ms  |  matches:  1600
  219 Frame processing times:  Cur. 4.489148 ms  |  Avg. 4.000000 ms  |  matches:  1600
  220 Frame processing times:  Cur. 4.480129 ms  |  Avg. 4.000000 ms  |  matches:  1600
  221 Frame processing times:  Cur. 4.496722 ms  |  Avg. 4.000000 ms  |  matches:  1600
  222 Frame processing times:  Cur. 4.509871 ms  |  Avg. 4.000000 ms  |  matches:  1600
  223 Frame processing times:  Cur. 4.496426 ms  |  Avg. 4.000000 ms  |  matches:  1600
  224 Frame processing times:  Cur. 4.499407 ms  |  Avg. 4.000000 ms  |  matches:  1600
  225 Frame processing times:  Cur. 4.481777 ms  |  Avg. 4.000000 ms  |  matches:  1600
  226 Frame processing times:  Cur. 4.478741 ms  |  Avg. 4.000000 ms  |  matches:  1600
  227 Frame processing times:  Cur. 4.522482 ms  |  Avg. 4.000000 ms  |  matches:  1600
  228 Frame processing times:  Cur. 4.465315 ms  |  Avg. 4.000000 ms  |  matches:  1600
  229 Frame processing times:  Cur. 4.465962 ms  |  Avg. 4.000000 ms  |  matches:  1600
  230 Frame processing times:  Cur. 4.495592 ms  |  Avg. 4.000000 ms  |  matches:  1600
  231 Frame processing times:  Cur. 4.467000 ms  |  Avg. 4.000000 ms  |  matches:  1600
  232 Frame processing times:  Cur. 4.447686 ms  |  Avg. 4.000000 ms  |  matches:  1600
  233 Frame processing times:  Cur. 4.534389 ms  |  Avg. 4.000000 ms  |  matches:  1600
  234 Frame processing times:  Cur. 4.477223 ms  |  Avg. 4.000000 ms  |  matches:  1600
  235 Frame processing times:  Cur. 4.461759 ms  |  Avg. 4.000000 ms  |  matches:  1600
  236 Frame processing times:  Cur. 4.484797 ms  |  Avg. 4.000000 ms  |  matches:  1600
  237 Frame processing times:  Cur. 4.499907 ms  |  Avg. 4.000000 ms  |  matches:  1600
  238 Frame processing times:  Cur. 4.497519 ms  |  Avg. 4.000000 ms  |  matches:  1600
  239 Frame processing times:  Cur. 4.486500 ms  |  Avg. 4.000000 ms  |  matches:  1600
  240 Frame processing times:  Cur. 4.475203 ms  |  Avg. 4.000000 ms  |  matches:  1600
  241 Frame processing times:  Cur. 4.461241 ms  |  Avg. 4.000000 ms  |  matches:  1600
  242 Frame processing times:  Cur. 4.504056 ms  |  Avg. 4.000000 ms  |  matches:  1600
  243 Frame processing times:  Cur. 4.502425 ms  |  Avg. 4.000000 ms  |  matches:  1600
  244 Frame processing times:  Cur. 4.458963 ms  |  Avg. 4.000000 ms  |  matches:  1600
  245 Frame processing times:  Cur. 4.504074 ms  |  Avg. 4.000000 ms  |  matches:  1600
  246 Frame processing times:  Cur. 4.458981 ms  |  Avg. 4.000000 ms  |  matches:  1600
